epoch,acc,loss,lr,val_acc,val_loss
0,0.8277419330251794,0.6361610172256347,0.01,0.00588235302883036,11.765187375685748
1,0.9263754060739067,0.2843418381867092,0.01,0.07975460230115733,13.885485555496684
2,0.9493527533938584,0.18499899892480048,0.01,0.10736196492712922,12.63767061643074
3,0.9585760571424243,0.15538967414352212,0.01,0.10889570750981752,12.191496884164634
4,0.9773462852613826,0.0935367773344264,0.0019999999,0.09509202554547713,11.107191039009328
5,0.9802589051931807,0.07226485073337374,0.0019999999,0.10276073763615515,11.130090017260217
6,0.9847896504170687,0.06277726582495623,0.0019999999,0.10429447973889808,11.590054324799521
7,0.985760523277579,0.058247817213071394,0.0019999999,0.11809816037767504,12.155614039649262
8,0.9893203942906895,0.04771712582564421,0.00039999996,0.09969325237936037,12.121488928063515
9,0.9915857656488141,0.0398968320918604,0.00039999996,0.11196319153246705,11.935456036058671
10,0.9907767043530362,0.03963701601794237,0.00039999996,0.111963191783867,11.933108148399306
11,0.9911003288327683,0.039985127857069466,7.999999e-05,0.10429448076735245,12.250043219583898
0,0.885483871352288,1.1798881468753661,7.999999e-05,1.0,0.002309436464737005
1,0.9114886746051628,0.3865389754712389,7.999999e-05,1.0,0.0027072288044528363
2,0.9530744371290731,0.1980820765122048,7.999999e-05,1.0,0.006167616209506623
3,0.9585760561779479,0.1701327005347002,7.999999e-05,0.995398777394207,0.010863242736600477
4,0.9608414275360725,0.15475417161209684,1.5999998e-05,0.996932514606078,0.00878414300704615
5,0.9624595524423717,0.14906104303245404,1.5999998e-05,0.9938650328688826,0.014786379454668862
6,0.9652103610023326,0.14097658646048852,1.5999998e-05,0.9938650365256093,0.011562479555641124
7,0.964563112428659,0.14853459619540227,1e-05,0.995398777394207,0.011110400579629774
0,0.9654838785048454,0.13657868357315178,1e-05,0.9882352983250338,0.029149391476119703
1,0.9652159890972706,0.13984831495735178,1e-05,0.9877112215748214,0.029693797809041796
2,0.9657013477621061,0.13820059004495433,1e-05,0.9892473184201758,0.027860553740786987
3,0.9637599148867566,0.14436365115789124,1e-05,0.9861751174047795,0.03210713991397468
4,0.9648924179398074,0.14181255754713218,1e-05,0.9907834152655302,0.025780724532495948
5,0.9650542054471798,0.1355668966235167,1e-05,0.9923195084485407,0.01896943152737668
6,0.9671574247691492,0.13291837358441944,1e-05,0.9800307336857059,0.05039547204244567
7,0.9644070582142195,0.13834943274592643,1e-05,0.989247314757832,0.030626814465142913
8,0.970069575070602,0.12868337733154253,1e-05,0.9938556089562388,0.02484721767275484
9,0.967319210830041,0.12903818255960894,1e-05,0.9846390278841127,0.033850132026702465
10,0.9728199386843546,0.1229072041716743,1e-05,0.9907834189278739,0.026675447848798585
